Kappa,en,Kappa
Location,en,Location
Maximum,en,Maximum
Mean,en,Mean
Meanlog,en,Meanlog
Minimum,en,Minimum
Number,en,Number
Population_Failures,en,Population Failures
Population_Successes,en,Population Successes
Probability,en,Probability
Rate,en,Rate
SDlog,en,SDlog
Sample_Size,en,Sample Size
Scale,en,Scale
Shape,en,Shape
Shape1,en,Shape1
Shape2,en,Shape2
Standard_deviation,en,Std Deviation
Open From Library,en,Open From Library
Edit Last Dialog,en,Edit Last Dialog
Last 10 Dialogs,en,Last 10 Dialogs
View Last Graph,en,View Last Graph
Data View,en,Data View
Output Window,en,Output Window
Column Metadata,en,Column Metadata
Log Window,en,Log Window
Reset to Default Layout,en,Reset to Default Layout
View Interactive Plot,en,View Interactive Plot
Data Frame Metadata,en,Data Frame Metadata
Script Window,en,Script Window
